PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL
"Apple Watch Series 9 Aluminum Cellular (41MM, Black) - Excellent",Apple Watch Series 9,Apple,,,AWTCH941MMCLLBlk-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlu-VR-ASN-AU,,,,,,,,,
"Apple Watch Series 9 Aluminium (45MM, Celullar, Silver) - Excellent",Apple Watch Series 9,Apple,,,ApWtS9Al45MMCellSil-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 9 Aluminium (45MM, Celullar, Rose Gold) - Excellent",Apple Watch Series 9,Apple,,,ApWtS9Al45MMCellRSe-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Blue) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBluAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Cream) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBCrm-VR-ASN-AU,,,,,,,,,
"Apple Watch Series 8 (45MM, Midnight) - Excellent",Apple Watch Series 8,Apple,,,AplWtS845MMMid-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 8 Cellular (45MM, Black) - Excellent",Apple Watch Series 8,Apple,,,AplWS845MMCelBlk-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 8 Cellular (45MM, Silver) - Excellent",Apple Watch Series 8,Apple,,,AplWS845MMCelSlv-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 8 Cellular (45MM, Gold) - Excellent",Apple Watch Series 8,Apple,,,AplWS845MMCelGld-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Cream) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBCrmAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Grey) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBGry-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Grey) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBGryAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Icy Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBIBlu-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Icy Blue) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBIBluAS-VR-ASN-AU,,,,,,,,,
"Apple Watch Series 7 (Silver, 41MM, CELLULAR) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS741MMCelSlv-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 (Grey, 41MM, CELLULAR) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS741MMCelGry-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 (Gold, 41MM, CELLULAR) - Excellent",Apple Watch Series 7,,,,AplWtchS741MMCelGld-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (1TB, Black) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMFLD61TBBlk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (1TB, Navy) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMFLD61TBNvy-VR-ASN-AU,,,,,,,,,
"Apple Watch Series 7 (Green, 41MM, CELLULAR) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS741MMCelGrn-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 (Red, 41MM, CELLULAR) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS741MMCelRed-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Silver) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS745MMCelSlv-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Grey) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS745MMCelGry-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Midnight) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS745MMMidCel-RD-VR-EXD-AU,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Gold) - Excellent",Apple Watch Series 7,Apple,,,AplWtchS745MMCelGld-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 6 (1TB, Pink) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMFLD61TBPnk-VR-ASN-AU,,,,,,,,,
