PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor #4 URL,Competitor #5 URL,Competitor #6 URL,Harga Amazon
"Nubia RedMagic 11 Pro 5G (24GB RAM, 1TB, Nightfreeze) - Brand New",Nubia,Nubia,,,NubRedMag11Pro24R1TBNig-AU,,,,,,,,,,https://bestmobilephone.com.au/zte-nubia-redmagic-11-pro-5g-dual-sim-24gb-1tb-nightfreeze-global-version/,https://www.amazon.com.au/dp/B0FR5B5ZH4,"1,941.20"
"Nubia RedMagic 11 Pro 5G (24GB RAM, 1TB, Subzero) - Brand New",Nubia,Nubia,,,NubRedMag11Pro24R1TBSub-AU,,,,,,,,,,https://bestmobilephone.com.au/zte-nubia-redmagic-11-pro-5g-dual-sim-24gb-1tb-subzero-global-version/,https://www.amazon.com.au/dp/B0FR5BKBQP,"1,941.20"
"Xiaomi Redmi Note 14 (8GB RAM, 128GB, Midnight Black) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNot144G8R128Blk-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Note 14 (8GB RAM, 128GB, Mist Purple) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNot144G8R128Prp-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Note 14 5G (12GB RAM, 512GB, Midnight Black) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNot145G12R512Blk-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Note 14 Pro 5G (12GB RAM, 256GB, Lavender Purple) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNot14Pro5G12R256Prp-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Note 15 (8GB RAM, 256GB, Black) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNT154G8R256Blk-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-note-15-dual-sim-8gb-ram-256gb-4g?variant=44249758859379,https://spectronic.com.au/product/xiaomi-redmi-note-15-5g-256gb-8gb-ram-black-dual-sim-global-version/,,https://www.amazon.com.au/dp/B0FX9Y2PBR,309.48
"OnePlus 15R 5G (12GB RAM, 256GB, Mint Breeze) - Brand New",OnePlus 15 Series,OnePlus,,,OnePls15R5G12R256Mnt-AU,,,,,,,,https://buymobile.com.au/products/oneplus-15r-cph2769-dual-sim-12gb-ram-256gb-5g?variant=44272399515763,https://spectronic.com.au/product/oneplus-15r-5g-256gb-12gb-ram-mint-breeze-dual-sim-global-version/,https://bestmobilephone.com.au/oneplus-15r-5g-dual-sim-12gb-256gb-mint-breeze-cph2769-global-version/,https://www.amazon.com.au/dp/B0FXFZXCRG,814.00
"Samsung Galaxy A17 (6GB RAM, 128GB, Blue) - Brand New",Samsung Galaxy A Series,Samsung,,,GalA176Gb128GBlu-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FPS631M9,#N/A
"Samsung Galaxy A17 (6GB RAM, 128GB, Gray) - Brand New",Samsung Galaxy A Series,Samsung,,,GalA176Gb128GGry-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FPRNF14M,#N/A
"Samsung Galaxy S25 FE (8GB RAM, 256GB, White) - Brand New",Samsung Galaxy S25 Series,Samsung,,,SamGalS25FE8R256Wht-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-s25-fe-s731b-ds-dual-sim-8gb-ram-256gb-5g?variant=43958179299443,https://spectronic.com.au/product/galaxy-s25-fe-5g-256gb-8gb-ram-white-dual-sim-global-version-sm-s731b-ds-esim-support/,https://bestmobilephone.com.au/samsung-galaxy-s25-fe-5g-dual-sim-8gb-256gb-white-sm-s731b-ds/,https://www.amazon.com.au/dp/B0FPRKC6CN,#N/A
"Samsung Galaxy S25 FE (8GB RAM, 512GB, JetBlack) - Brand New",Samsung Galaxy S25 Series,Samsung,,,SamGalS25FE8R512Blk-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-s25-fe-s731b-ds-dual-sim-8gb-ram-512gb-5g?variant=43957814820979,https://spectronic.com.au/product/galaxy-s25-fe-5g-512gb-8gb-ram-jetblack-dual-sim-global-version-sm-s731b-ds-esim-support/,,https://www.amazon.com.au/dp/B0FT1W5LRX,#N/A
"Samsung Galaxy S25 FE (8GB RAM, 512GB, White) - Brand New",Samsung Galaxy S25 Series,Samsung,,,SamGalS25FE8R512Wht-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-s25-fe-s731b-ds-dual-sim-8gb-ram-512gb-5g?variant=43957814886515,https://spectronic.com.au/product/galaxy-s25-fe-5g-512gb-8gb-ram-white-dual-sim-global-version-sm-s731b-ds-esim-support/,,,#N/A
"Google Pixel 10a 5G (8GB RAM, 256GB, Fog) - Brand New",Google Pixel 10 Series,Google,,,GooPix10a5G8R256Fog-AU,,,,,,https://www.jbhifi.com.au/products/google-pixel-10a-5g-128gb-fog,,,,,https://www.amazon.com.au/dp/B0GS5S9MNZ,#N/A
"Apple iPhone 17 5G (8GB RAM, 512GB, Black) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R512Blk-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-512gb-black,,,,,,#N/A
"Apple iPhone 17 5G (8GB RAM, 512GB, Lavender) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R512Lav-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-512gb-lavender,,,,,,#N/A
"Apple iPhone 17 5G (8GB RAM, 512GB, Mist Blue) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R512Blu-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-512gb-mist-blue,,,,,,#N/A
"Apple iPhone 17 5G (8GB RAM, 512GB, Sage) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R512Sag-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-512gb-sage,,,,,,#N/A
"Apple iPhone 17 5G (8GB RAM, 512GB, White) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R512Wht-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-512gb-white,,,,,,#N/A
"Apple iPhone 17 5G (8GB RAM, 256GB, Sage) - Brand New",Apple iPhone 17 Series,Apple,,,AppiPn178R256Sag-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-17-256gb-sage,,,,,,#N/A
"Apple iPhone Air 5G (12GB RAM, 1TB, Cloud White) - Brand New",Apple iPhone Air Series,Apple,,,AppiPnAir12R1TBWht-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-air-1tb-cloud-white,,,,,,#N/A
"Apple iPhone Air 5G (12GB RAM, 1TB, Light Gold) - Brand New",Apple iPhone Air Series,Apple,,,AppiPnAir12R1TBGld-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-air-1tb-light-gold,,,,,,#N/A
"Apple iPhone Air 5G (12GB RAM, 1TB, Sky Blue) - Brand New",Apple iPhone Air Series,Apple,,,AppiPnAir12R1TBBlu-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-air-1tb-sky-blue,,,,,,#N/A
"Apple iPhone Air 5G (12GB RAM, 1TB, Space Black) - Brand New",Apple iPhone Air Series,Apple,,,AppiPnAir12R1TBBlk-AU,,,,,,https://www.jbhifi.com.au/products/apple-iphone-air-1tb-space-black,,,,,,#N/A
